company,ats_detected,endpoint_url,http_status,raw_jobs_returned,matched_after_filter,outcome,notes
Alvarez & Marsal,,,,0,0,careers_page_missing,from cache
AlixPartners,greenhouse,https://boards-api.greenhouse.io/v1/boards/alixpartners/jobs,200,107,0,no_matching_roles,from cache
FTI Consulting,,,,0,0,careers_page_missing,from cache; careers:https://www.fticonsulting.com/en/careers
Kroll,,,,0,0,careers_page_missing,from cache
Teneo,greenhouse,https://boards-api.greenhouse.io/v1/boards/teneo/jobs,200,48,1,ok,from cache
Interpath,greenhouse,https://boards-api.greenhouse.io/v1/boards/interpath/jobs,200,23,0,no_matching_roles,from cache
Ankura,workday,https://ankura.wd5.myworkdayjobs.com/wday/cxs/ankura/Ankura/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
Berkeley Research Group,workday,https://thinkbrg.wd5.myworkdayjobs.com/wday/cxs/thinkbrg/BRG_External_Career_Site/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
Riveron,ashby,https://api.ashbyhq.com/posting-api/job-board/riveron,200,67,0,no_matching_roles,from cache
Portage Point Partners,lever,https://api.lever.co/v0/postings/portagepointpartners?mode=json&limit=1,200,52,2,ok,from cache
M3 Partners,,,,0,0,careers_page_missing,from cache
Province,,,,0,0,careers_page_missing,from cache; careers:https://provincefirm.com/careers/
CR3 Partners,,,,0,0,careers_page_missing,from cache; careers:https://www.cr3partners.com/
Getzler Henrich,,,,0,0,careers_page_missing,from cache; careers:https://getzlerhenrich.com/careers/
Hilco Global,workday,https://hilcoglobal.wd1.myworkdayjobs.com/wday/cxs/hilcoglobal/Hilco_Global_Careers/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
Gordon Brothers,,,,0,0,careers_page_missing,from cache; careers:https://www.gordonbrothers.com/about-us/careers/
B. Riley Financial,,,,0,0,careers_page_missing,from cache; careers:https://www.brcgh.com/
Accordion,greenhouse,https://boards-api.greenhouse.io/v1/boards/accordion/jobs,200,49,4,ok,from cache
SierraConstellation Partners,,,,0,0,careers_page_missing,from cache; careers:https://sierraconstellation.com/careers/
Carl Marks Advisors,,,,0,0,careers_page_missing,from cache; careers:https://carlmarks.com/careers/
Quantuma,,,,0,0,careers_page_missing,from cache; careers:http://ww1.quantuma-careers.com/
Azets,,,,0,0,careers_page_missing,from cache; careers:https://www.azets.com/en/careers
Deloitte,,,,0,0,careers_page_missing,from cache
PwC,,,,0,0,careers_page_missing,from cache; careers:https://www.pwc.com/us/en/careers.html
KPMG,lever,https://api.lever.co/v0/postings/kpmg?mode=json&limit=1,200,0,0,no_matching_roles,from cache
EY,,,,0,0,careers_page_missing,from cache; careers:https://www.ey.com/en_gl/careers
Grant Thornton,,,,0,0,careers_page_missing,from cache; careers:https://www.grantthornton.ie/en/careers/
BDO,,,,0,0,careers_page_missing,from cache; careers:https://bdoireland.pinpointhq.com/
Forvis Mazars,greenhouse,https://boards-api.greenhouse.io/v1/boards/forvismazars/jobs,200,165,0,no_matching_roles,from cache
RSM,,,,0,0,careers_page_missing,from cache; careers:https://www.rsm.global/working-for-rsm
PJT Partners,workday,https://pjtpartners.wd1.myworkdayjobs.com/wday/cxs/pjtpartners/Careers/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
Houlihan Lokey,workday,https://hl.wd1.myworkdayjobs.com/wday/cxs/hl/Campus/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
Lazard,,,,0,0,careers_page_missing,from cache; careers:https://lazard.com/careers/jobs
Rothschild & Co,,,,0,0,careers_page_missing,from cache; careers:https://www.rothschildandco.com/en-us/careers/
Evercore,,,,0,0,careers_page_missing,from cache; careers:https://www.evercore.com/careers/
Moelis & Company,workday,https://moelis.wd1.myworkdayjobs.com/wday/cxs/moelis/Experienced-Hires/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
Perella Weinberg Partners,,,,0,0,careers_page_missing,from cache; careers:https://pwpartners.com/careers/
Centerview Partners,,,,0,0,careers_page_missing,from cache
Guggenheim Securities,,,,0,0,careers_page_missing,from cache
Jefferies,,,,0,0,careers_page_missing,from cache; careers:https://www.jefferies.com/careers/
Ducera Partners,greenhouse,https://boards-api.greenhouse.io/v1/boards/ducerapartners/jobs,200,7,2,ok,from cache
Solomon Partners,,,,0,0,careers_page_missing,from cache; fetch:HTTP 404; careers:https://solomonpartners.com/careers/
Stifel,,,,0,0,careers_page_missing,from cache; careers:https://www.stifel.com/careers
Piper Sandler,,,,0,0,careers_page_missing,from cache; careers:https://www.pipersandler.com/careers
Cantor Fitzgerald,,,,0,0,careers_page_missing,from cache
JPMorganChase,,,,0,0,careers_page_missing,from cache; careers:https://www.jpmorganchase.com/careers
Goldman Sachs,,,,0,0,careers_page_missing,from cache; careers:https://www.goldmansachs.com/careers
Morgan Stanley,,,,0,0,careers_page_missing,from cache; careers:https://www.morganstanley.com/people
Bank of America,,,,0,0,careers_page_missing,from cache; careers:https://about.bankofamerica.com/en?cm_mmc=EBZ-EnterpriseBrand-_-vanity-_-EB01VN009J_about-_-NA
Citi,workday,https://citi.wd5.myworkdayjobs.com/wday/cxs/citi/2/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
Barclays,,,,0,0,careers_page_missing,from cache; careers:https://home.barclays/careers/
Deutsche Bank,,,,0,0,careers_page_missing,from cache; careers:https://careers.db.com/index?kid=careers.redirect-en.shortcut&language_id=1
UBS,,,,0,0,careers_page_missing,from cache; careers:https://www.ubs.com/global/en/careers.html
HSBC,,,,0,0,careers_page_missing,from cache; careers:https://www.hsbc.com/careers
BNP Paribas,,,,0,0,careers_page_missing,from cache
Wells Fargo,,,,0,0,careers_page_missing,from cache; careers:https://www.wellsfargojobs.com/en/
RBC Capital Markets,,,,0,0,careers_page_missing,from cache; careers:https://www.rbc.com/en/about-us/history/careers/
Nomura,,,,0,0,careers_page_missing,from cache; careers:https://www.nomura.com/careers/
Macquarie,,,,0,0,careers_page_missing,from cache; careers:https://www.macquarie.com/us/en/careers.html
Oaktree Capital Management,workday,https://oaktree.wd1.myworkdayjobs.com/wday/cxs/oaktree/Oaktree/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
Apollo Global Management,greenhouse,https://boards-api.greenhouse.io/v1/boards/apollo/jobs,200,0,0,no_matching_roles,from cache
Ares Management,,,,0,0,careers_page_missing,from cache; fetch:HTTP 404
Cerberus Capital Management,,,,0,0,careers_page_missing,from cache
Fortress Investment Group,lever,https://api.lever.co/v0/postings/fortress?mode=json&limit=1,200,0,0,no_matching_roles,from cache
Centerbridge Partners,,,,0,0,careers_page_missing,from cache
Silver Point Capital,,,,0,0,careers_page_missing,from cache; careers:https://www.silverpointcapital.com/
Anchorage Capital Group,,,,0,0,careers_page_missing,from cache
Knighthead Capital,,,,0,0,careers_page_missing,from cache
Monarch Alternative Capital,,,,0,0,careers_page_missing,from cache; careers:https://www.monarchlp.com/
King Street Capital Management,,,,0,0,careers_page_missing,from cache
Marathon Asset Management,,,,0,0,careers_page_missing,from cache; fetch:HTTP 404; careers:https://www.marathonfund.com/careers
GoldenTree Asset Management,,,,0,0,careers_page_missing,from cache
Bain Capital Credit,,,,0,0,careers_page_missing,from cache
Blackstone,workday,https://blackstone.wd1.myworkdayjobs.com/wday/cxs/blackstone/Blackstone_Careers/jobs,,0,0,no_ats_found,"from cache; fetch:Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON"
KKR,,,,0,0,careers_page_missing,from cache; careers:https://www.kkr.com/careers
Carlyle,,,,0,0,careers_page_missing,from cache
Sixth Street,,,,0,0,careers_page_missing,from cache; fetch:HTTP 404; careers:https://sixthstreet.com/careers/
HPS Investment Partners,greenhouse,https://boards-api.greenhouse.io/v1/boards/hpsinvestmentpartners/jobs,200,0,0,no_matching_roles,from cache
Davidson Kempner,,,,0,0,careers_page_missing,from cache; careers:https://www.davidsonkempner.com/
Attestor Capital,,,,0,0,careers_page_missing,from cache
TPG Angelo Gordon,,,,0,0,careers_page_missing,from cache; careers:https://www.tpg.com/
Diameter Capital Partners,,,,0,0,careers_page_missing,from cache
Beach Point Capital,,,,0,0,careers_page_missing,from cache
Lone Star Funds,,,,0,0,careers_page_missing,from cache
H.I.G. Capital,,,,0,0,careers_page_missing,from cache; careers:https://hig.com/
Platinum Equity,,,,0,0,careers_page_missing,from cache
Sun Capital Partners,,,,0,0,careers_page_missing,from cache; careers:https://suncappart.com/careers/
Atlas Holdings,ashby,https://api.ashbyhq.com/posting-api/job-board/atlas,200,7,0,no_matching_roles,from cache
AIB,,,,0,0,careers_page_missing,from cache; careers:https://www.aib.ie/careers
Bank of Ireland,,,,0,0,careers_page_missing,from cache
Pepper Advantage,,,,0,0,careers_page_missing,from cache; careers:https://pepperadvantage.com/en-us/careers
Davy,,,,0,0,careers_page_missing,from cache; careers:https://www.davy.ie/en-us/careers
Goodbody,,,,0,0,careers_page_missing,from cache; careers:https://www.goodbody.ie/careers/
Investec,,,,0,0,careers_page_missing,from cache
EssilorLuxottica,,,,0,0,careers_page_missing,from cache; careers:https://www.essilorluxottica.com/join-us/
Flutter Entertainment,,,,0,0,careers_page_missing,from cache; careers:https://flutter.com/careers/
CRH,,,,0,0,careers_page_missing,from cache; careers:https://www.crh.com/careers/
Smurfit Westrock,,,,0,0,careers_page_missing,from cache; careers:https://www.smurfitwestrock.com/careers/jobs
Kerry Group,,,,0,0,careers_page_missing,from cache; careers:https://www.kerry.com/careers
Ryanair,,,,0,0,careers_page_missing,from cache; careers:https://www.ryanair.com/us/en
